GEOID;1984;1984 Euros;1984 Pounds;1984 Kroner
04000US01;17310;15232.8;10386.0;139172.4
04000US02;32356;28473.28;19413.6;260142.23999999996
04000US04;21425;18854.0;12855.0;172256.99999999997
04000US05;15674;13793.12;9404.4;126018.95999999999
04000US06;25287;22252.56;15172.199999999999;203307.47999999998
04000US08;25801;22704.88;15480.599999999999;207440.03999999998
04000US09;29951;26356.88;17970.6;240806.03999999998
04000US10;25819;22720.72;15491.4;207584.75999999998
04000US12;19785;17410.8;11871.0;159071.4
04000US13;19984;17585.920000000002;11990.4;160671.36
04000US15;28877;25411.76;17326.2;232171.08
04000US16;21092;18560.96;12655.199999999999;169579.68
04000US17;23752;20901.76;14251.199999999999;190966.08
04000US18;22770;20037.6;13662.0;183070.8
04000US19;19863;17479.44;11917.8;159698.52
04000US20;24629;21673.52;14777.4;198017.15999999997
04000US21;17680;15558.4;10608.0;142147.19999999998
04000US22;18949;16675.12;11369.4;152349.96
04000US23;20648;18170.24;12388.8;166009.91999999998
04000US24;29708;26143.04;17824.8;238852.31999999998
04000US25;26959;23723.920000000002;16175.4;216750.36
04000US26;22965;20209.2;13779.0;184638.59999999998
04000US27;24436;21503.68;14661.6;196465.43999999997
04000US28;15430;13578.4;9258.0;124057.19999999998
04000US29;20775;18282.0;12465.0;167030.99999999997
04000US30;19536;17191.68;11721.6;157069.43999999997
04000US31;21397;18829.36;12838.199999999999;172031.87999999998
04000US32;25776;22682.88;15465.599999999999;207239.03999999998
04000US33;25914;22804.32;15548.4;208348.55999999997
04000US34;27776;24442.88;16665.6;223319.03999999998
04000US35;20630;18154.4;12378.0;165865.19999999998
04000US36;22027;19383.76;13216.199999999999;177097.08
04000US37;20569;18100.72;12341.4;165374.75999999998
04000US38;20771;18278.48;12462.6;166998.84
04000US39;23123;20348.24;13873.8;185908.91999999998
04000US40;21148;18610.24;12688.8;170029.91999999998
04000US41;21399;18831.12;12839.4;172047.96
04000US42;20346;17904.48;12207.6;163581.84
04000US44;21612;19018.56;12967.199999999999;173760.47999999998
04000US45;20309;17871.920000000002;12185.4;163284.36
04000US46;19409;17079.920000000002;11645.4;156048.36
04000US47;16782;14768.16;10069.199999999999;134927.28
04000US48;23024;20261.12;13814.4;185112.96
04000US49;23057;20290.16;13834.199999999999;185378.27999999997
04000US50;22578;19868.64;13546.8;181527.11999999997
04000US51;26525;23342.0;15915.0;213260.99999999997
04000US53;25017;22014.96;15010.199999999999;201136.68
04000US54;16843;14821.84;10105.8;135417.71999999997
04000US55;20743;18253.84;12445.8;166773.71999999997
04000US56;23816;20958.08;14289.6;191480.63999999998
